program_year,unique_providers,transaction_count,total_payments,avg_payment,max_payment,yoy_growth
2020,6083,113049,23607167.740000000,208.822437527,5000000.000000000,
2021,8857,198365,23177804.800000000,116.844225544,1156523.180000000,-1.818782095035005669002799230
2022,9611,217236,25216416.410000000,116.078441925,636000.000000000,8.795533604631962384979616400
2023,10150,233911,26259614.890000000,112.263274878,618000.000000000,4.136981492684669700852231400
2024,10096,225169,26074275.840000000,115.798692715,360000.000000000,-0.7057950041399102940157398500
