City,total_providers,bcbsmi_providers,providers_with_payments,payment_penetration_pct,total_payments,avg_payment,total_transactions,total_rx_cost,total_rx_count,hospital_count,area_type
Detroit,11808,9409,7956,67.38,221189503.27,27801.600000000,454758,5045288250.496654000,5947683.000000000,151,Urban
Ann Arbor,11776,8496,5976,50.75,158990316.89,26604.810000000,267953,2957463455.326824000,3070148.000000000,110,Urban
Royal Oak,8946,7977,7051,78.82,151302467.19,21458.300000000,590254,3448157190.242577000,4088549.000000000,59,Urban
Troy,7291,6494,5657,77.59,144249407.11,25499.280000000,515633,3837178789.393831000,4771202.000000000,144,Urban
Grand Rapids,9812,6803,5845,59.57,135042966.33,23104.010000000,244145,6310936963.312650000,7614238.000000000,271,Urban
Holland,7499,6448,5610,74.81,79258788.52,14128.130000000,459605,1994088876.353079000,2430165.000000000,66,Urban
Jackson,7700,6336,5093,66.14,66217962.89,13001.760000000,314681,2538343595.812463000,3031321.000000000,71,Rural
Livonia,3400,2412,2492,73.29,63990285.26,25678.280000000,214647,1050948918.340755000,1358785.000000000,131,Urban
Farmington Hills,4430,3322,3018,68.13,48720909.99,16143.440000000,316386,1571808522.237424000,1943264.000000000,104,Urban
Dearborn,4788,4200,3818,79.74,48705388.19,12756.780000000,333705,1709820976.663239000,2095295.000000000,169,Urban
Pontiac,1916,1654,1557,81.26,44599166.55,28644.290000000,130088,596362299.474334000,743211.000000000,39,Urban
Lansing,3332,2680,2494,74.85,43602226.61,17482.850000000,158415,1792730050.453904000,2034119.000000000,97,Urban
Grosse Pointe,2987,2728,2454,82.16,41645187.26,16970.330000000,238146,1117143996.691995000,1290124.000000000,13,Rural
West Bloomfield,3135,2555,2068,65.96,39383089.96,19044.050000000,127171,759844342.348339000,812720.000000000,65,Rural
Saint Joseph,2188,1668,1601,73.17,39343657.54,24574.430000000,83406,607427682.599927000,702227.000000000,32,Rural
