City,total_providers,bcbsmi_providers,providers_with_payments,payment_penetration_pct,total_payments,avg_payment,total_transactions,total_rx_cost,total_rx_count,hospital_count,area_type
Clinton Township,3658,2349,2180,59.6,39274787.66,18015.960000000,175694,1030892732.448693000,1110017.000000000,94,Rural
Lapeer,3672,3240,3073,83.69,37460769.95,12190.290000000,264758,1744586246.471580000,2079684.000000000,32,Rural
Grand Blanc,3734,3429,3186,85.32,35562967.93,11162.260000000,275296,1586288289.209690000,1899286.000000000,56,Rural
Saginaw,2695,2084,1824,67.68,33795443.1,18528.200000000,96028,2190387695.028940000,2512823.000000000,126,Urban
Southfield,2283,1673,1729,75.73,28592503.58,16537.020000000,139548,600452993.080817000,826261.000000000,143,Urban
Novi,2590,1861,1834,70.81,27595744.64,15046.750000000,134934,549919808.885415000,700822.000000000,85,Urban
Berkley,677,616,566,83.6,27328601.46,48283.750000000,73310,229750578.105430000,296515.000000000,25,Rural
Rochester,1546,1296,1271,82.21,27317421.75,21492.860000000,122140,484931488.082220000,579733.000000000,27,Rural
Kalamazoo,3785,2824,2399,63.38,26508397.34,11049.770000000,100517,1762933250.466580000,2179106.000000000,82,Urban
Flint,2207,1721,1626,73.67,24799065.39,15251.580000000,111506,1414897721.087330000,1707613.000000000,158,Urban
Traverse City,2467,1931,1684,68.26,23188056.6,13769.630000000,60606,1328259580.344790000,1521992.000000000,115,Rural
Bay City,2245,1846,1754,78.13,22685312.53,12933.470000000,112366,1021802850.200660000,1184976.000000000,56,Rural
Ypsilanti,2421,2065,1419,58.61,21784678.27,15352.130000000,75195,506967600.439170000,516301.000000000,44,Rural
Taylor,1647,1506,1378,83.67,21648632.13,15710.180000000,133691,561986165.685120000,732930.000000000,36,Urban
Midland,2185,1730,1408,64.44,20816335.2,14784.330000000,61806,1129968513.600120000,1250084.000000000,49,Rural
Warren,1706,1453,1327,77.78,20100678.65,15147.460000000,108682,581197830.408750000,750787.000000000,97,Urban
Wayne,1718,1551,1395,81.2,19315043.48,13845.910000000,145133,565740805.617390000,736902.000000000,11,Rural
Wyandotte,1643,1371,1126,68.53,18011446.53,15995.960000000,92196,567689517.786473000,660510.000000000,24,Rural
Wyoming,2058,1709,1380,67.06,17254242.15,12503.070000000,88873,584982362.237930000,621092.000000000,29,Urban
Monroe,2184,1611,1698,77.75,16733303.62,9854.710000000,107815,822724065.699568000,1097732.000000000,45,Rural
Big Rapids,1652,1460,1323,80.08,16622075.51,12563.930000000,83148,639910667.076620000,704658.000000000,21,Rural
Commerce Township,1160,951,951,81.98,16292784.95,17132.270000000,81727,214170221.854050000,260780.000000000,32,Rural
Port Huron,887,711,647,72.94,16230257.99,25085.410000000,56374,618441792.101770000,757712.000000000,44,Rural
Greenville,1863,1670,1454,78.05,15806987.99,10871.380000000,83623,677338116.715120000,738192.000000000,21,Rural
Zeeland,1548,1384,1230,79.46,14499129.15,11787.910000000,68767,572590447.697690000,556127.000000000,12,Rural
Hastings,1385,1250,1108,80.0,14277009.48,12885.390000000,73003,571977806.239230000,616681.000000000,18,Rural
Mount Clemens,1104,946,948,85.87,13600810.69,14346.850000000,96549,371009631.673670000,421420.000000000,18,Rural
Owosso,802,611,608,75.81,13183462.77,21683.330000000,64096,423186933.540390000,451963.000000000,26,Rural
Howell,1073,939,644,60.02,13089910.09,20325.950000000,34319,299450192.214880000,331620.000000000,22,Rural
Fremont,1468,1329,1204,82.02,12338925.05,10248.280000000,70275,572284497.315370000,605585.000000000,12,Rural
Trenton,1241,1124,1046,84.29,12043993.07,11514.330000000,107584,397422929.032770000,490380.000000000,22,Rural
Bingham Farms,1009,949,796,78.89,11349861.37,14258.620000000,91849,689907685.008897000,948420.000000000,34,Rural
Battle Creek,2453,1699,1489,60.7,11326840.21,7607.010000000,69357,836878213.830780000,1060629.000000000,58,Urban
Alpena,806,686,559,69.35,10876508.43,19457.080000000,33880,350055113.475170000,324567.000000000,20,Rural
East Lansing,2244,1746,1616,72.01,10695341.27,6618.400000000,81135,431062524.622897000,483808.000000000,54,Urban
Chelsea,1007,848,563,55.91,10426071.81,18518.780000000,14536,228371204.350530000,244403.000000000,21,Rural
Reed City,941,861,768,81.62,9191104.93,11967.580000000,48795,445757128.966110000,453943.000000000,5,Rural
Ludington,1171,1025,932,79.59,9150727.35,9818.380000000,49192,543547114.932120000,537098.000000000,20,Rural
Muskegon,1171,888,822,70.2,8410391.03,10231.620000000,38103,435551314.473210000,546402.000000000,53,Rural
Marshall,524,429,364,69.47,7816466.06,21473.810000000,30428,252969454.530800000,310934.000000000,11,Rural
Adrian,941,755,710,75.45,7630128.72,10746.660000000,56287,402419594.298874000,482899.000000000,27,Rural
Mount Pleasant,744,569,527,70.83,7610068.2,14440.360000000,40014,415196609.476770000,450051.000000000,36,Rural
Petoskey,835,672,646,77.37,7251003.16,11224.460000000,37705,280777392.704150000,225227.000000000,36,Rural
Imlay City,191,179,170,89.01,7214904.18,42440.610000000,15574,90234140.820440000,109388.000000000,6,Rural
South Haven,495,440,389,78.59,6959552.88,17890.880000000,22779,233600219.760160000,277276.000000000,9,Rural
Garden City,743,568,616,82.91,6543361.83,10622.340000000,58024,203491310.617170000,279514.000000000,18,Rural
Bloomfield Hills,525,357,304,57.9,5969055.68,19635.050000000,30178,76877982.691784000,106359.000000000,68,Rural
Cadillac,1546,1334,1140,73.74,5634581.52,4942.620000000,40726,427987085.383820000,454938.000000000,24,Rural
Rochester Hills,879,598,632,71.9,5337024.2,8444.660000000,55221,319820941.861465000,352336.000000000,109,Urban
Frankenmuth,149,111,102,68.46,5082719.29,49830.580000000,6757,71804334.156940000,89963.000000000,12,Rural
Charlotte,1014,893,835,82.35,4845437.01,5802.920000000,61202,338317966.380980000,399024.000000000,9,Rural
Clare,832,759,578,69.47,4749058.3,8216.360000000,31562,364180048.511210000,371917.000000000,14,Rural
Allegan,486,429,356,73.25,4703560.53,13212.250000000,29310,258499029.791650000,277946.000000000,11,Rural
Lake Orion,178,115,112,62.92,4409838.76,39373.560000000,4877,27651200.160330000,29337.000000000,21,Rural
Saint Clair Shores,477,340,336,70.44,4310469.82,12828.780000000,27885,140470218.570220000,142538.000000000,56,Rural
Saint Johns,555,462,425,76.58,4112691.62,9676.920000000,42814,212043553.073070000,241735.000000000,10,Rural
Standish,334,317,281,84.13,4008950.67,14266.730000000,21702,288567736.802100000,326477.000000000,9,Rural
Tawas City,322,297,248,77.02,3959906.52,15967.370000000,19983,181268796.649310000,183155.000000000,9,Rural
Sault Sainte Marie,449,359,336,74.83,3841064.87,11431.740000000,14579,128030201.052350000,140244.000000000,13,Rural
Milford,271,242,208,76.75,3779017.65,18168.350000000,30120,155114499.340610000,215143.000000000,14,Rural
Kalkaska,478,416,380,79.5,3711918.09,9768.210000000,19428,142008128.827680000,162525.000000000,2,Rural
Sturgis,378,366,319,84.39,3653487.38,11452.940000000,31116,205303963.300620000,235920.000000000,6,Rural
Paw Paw,688,582,538,78.2,3636526.45,6759.340000000,33444,285164326.313720000,346665.000000000,4,Rural
Grass Lake,16,12,15,93.75,3534197.12,235613.140000000,1128,20813.063150000,83.000000000,2,Rural
West Branch,492,431,358,72.76,3484420.82,9733.020000000,24431,261715282.054380000,252505.000000000,15,Rural
Gladwin,410,378,290,70.73,3417480.28,11784.410000000,13671,207831433.213110000,211482.000000000,10,Rural
Coldwater,356,277,274,76.97,3349762.58,12225.410000000,26777,149471436.747410000,195888.000000000,13,Rural
Gaylord,653,566,526,80.55,3292888.76,6260.240000000,21940,236362793.416560000,275099.000000000,21,Rural
Grandville,1110,960,742,66.85,3288868.44,4432.440000000,22118,296299778.193850000,375328.000000000,19,Rural
Charlevoix,638,563,503,78.84,3260246.41,6481.600000000,19932,175029173.800340000,192445.000000000,7,Rural
Romeo,192,169,152,79.17,3225657.09,21221.430000000,17048,117236724.260000000,138307.000000000,8,Rural
Bad Axe,233,196,182,78.11,3207619.02,17624.280000000,13725,85885884.329590000,99572.000000000,17,Rural
Madison Heights,577,511,435,75.39,3177330.27,7304.210000000,40919,238393432.087629000,352779.000000000,30,Rural
Houghton,2405,993,974,40.5,3053533.18,3135.040000000,19710,265170438.042670000,316043.000000000,9,Rural
Cass City,340,291,274,80.59,2944354.68,10745.820000000,19381,214167461.690450000,235520.000000000,9,Rural
Alma,582,481,378,64.95,2896711.09,7663.260000000,16309,199441714.099690000,206805.000000000,18,Rural
Grayling,494,438,403,81.58,2831585.3,7026.270000000,16268,180805693.184220000,200059.000000000,10,Rural
Southgate,333,219,200,60.06,2726894.65,13634.470000000,23931,105711018.864050000,156599.000000000,31,Rural
Ionia,394,336,291,73.86,2661758.23,9146.940000000,27752,177058924.909570000,213189.000000000,13,Rural
Hillsdale,330,277,258,78.18,2424226.73,9396.230000000,21578,145402304.386410000,182396.000000000,16,Rural
Carson City,328,305,258,78.66,2421161.88,9384.350000000,21504,144847849.294840000,169924.000000000,4,Rural
Iron Mountain,570,369,323,56.67,2380238.48,7369.160000000,11269,119013775.984610000,148548.000000000,18,Rural
Dowagiac,134,125,91,67.91,2110009.1,23186.910000000,8549,79087175.085020000,97981.000000000,6,Rural
Waterford,283,184,171,60.42,2095481.02,12254.270000000,11026,48126015.055894000,66486.000000000,48,Rural
Manistee,521,426,388,74.47,2034735.28,5244.160000000,12695,131050194.451690000,155801.000000000,11,Rural
Marlette,185,173,153,82.7,2026483.94,13244.990000000,16092,121253086.169460000,138183.000000000,5,Rural
Sterling Heights,462,378,361,78.14,1969987.36,5457.030000000,43273,169686106.889160000,219234.000000000,91,Urban
Marquette,915,668,613,66.99,1969322.57,3212.600000000,14654,244099120.466250000,320869.000000000,48,Rural
Sheridan,81,79,68,83.95,1968043.06,28941.810000000,6869,34741602.717040000,36061.000000000,2,Rural
Escanaba,365,300,266,72.88,1948632.45,7325.690000000,9473,103173194.436650000,132917.000000000,19,Rural
Three Rivers,378,330,307,81.22,1844965.08,6009.660000000,22093,194958282.438760000,231213.000000000,12,Rural
Saint Ignace,201,175,166,82.59,1820617.1,10967.570000000,7935,73145487.885800000,80243.000000000,3,Rural
Canton,268,192,171,63.81,1816628.79,10623.560000000,18108,69442122.301990000,105048.000000000,53,Rural
Watervliet,511,467,411,80.43,1811344.94,4407.170000000,22025,166807070.943970000,200949.000000000,4,Rural
Pigeon,230,211,205,89.13,1761682.26,8593.570000000,15183,177193881.479600000,175649.000000000,4,Rural
Plainwell,186,167,134,72.04,1700302.16,12688.820000000,11672,125168816.883830000,161227.000000000,7,Rural
Niles,904,667,611,67.59,1699569.01,2781.620000000,25340,279473534.860250000,341610.000000000,20,Rural
Macomb,186,118,141,75.81,1608817.19,11410.050000000,5837,24951714.527620000,12478.000000000,26,Rural
Caledonia,23,14,12,52.17,1544618.99,128718.250000000,4657,1176053.284160000,178.000000000,6,Rural
Shelby,333,308,278,83.48,1525770.27,5488.380000000,13378,98337080.588720000,126649.000000000,3,Rural
Frankfort,299,291,262,87.63,1471008.67,5614.540000000,12763,121789315.691680000,127114.000000000,2,Rural
Portage,435,321,281,64.6,1426585.93,5076.820000000,19517,217170000.899800000,304124.000000000,43,Urban
Clarkston,346,226,217,62.72,1418621.73,6537.430000000,18152,69448677.487010000,94618.000000000,48,Rural
Shelby Township,338,194,183,54.14,1409479.6,7702.070000000,18048,70498496.392990000,89893.000000000,68,Rural
Hancock,566,481,426,75.27,1388403.12,3259.160000000,9087,156119104.508540000,206045.000000000,11,Rural
Caro,210,193,166,79.05,1245430.34,7502.590000000,10685,150526526.390220000,181789.000000000,13,Rural
Chesterfield,167,77,67,40.12,1153314.34,17213.650000000,6414,21654395.758140000,20471.000000000,24,Rural
Newberry,137,126,114,83.21,1142855.21,10025.050000000,5104,40878054.736590000,50674.000000000,2,Rural
East China,273,207,180,65.93,1138435.84,6324.640000000,16399,118093140.720560000,130923.000000000,6,Rural
Eaton Rapids,202,156,156,77.23,1055781.53,6767.830000000,18895,89232059.835790000,90609.000000000,4,Rural
Birmingham,109,77,71,65.14,1038358.26,14624.760000000,3830,3899053.722660000,4097.000000000,31,Urban
Grand Haven,518,429,408,78.76,994948.84,2438.600000000,15006,126330630.738490000,148244.000000000,31,Rural
Davison,290,281,250,86.21,977133.2,3908.530000000,23777,221952506.295670000,271996.000000000,17,Rural
Benton Harbor,334,278,240,71.86,969973.09,4041.550000000,13887,168776475.554440000,224026.000000000,10,Rural
Manistique,177,162,151,85.31,820042.46,5430.740000000,4674,76417438.218600000,95223.000000000,8,Rural
Sandusky,174,160,140,80.46,750693.33,5362.100000000,9718,95585644.851920000,109650.000000000,6,Rural
Ishpeming,487,413,373,76.59,742505.22,1990.630000000,8595,100922343.565900000,131545.000000000,10,Rural
Byron Center,140,123,94,67.14,741761.29,7891.080000000,3500,24466767.087130000,45224.000000000,7,Rural
Cheboygan,230,210,188,81.74,731494.48,3890.930000000,7767,125513086.785160000,151524.000000000,11,Rural
Farmington,83,65,52,62.65,711877.72,13689.960000000,6396,23186674.419830000,31922.000000000,17,Rural
Dearborn Heights,111,92,86,77.48,704561.98,8192.580000000,5992,18149023.697330000,29724.000000000,26,Urban
Ironwood,277,205,158,57.04,665719.12,4213.410000000,3749,69222090.226950000,84072.000000000,4,Rural
Allen Park,109,87,84,77.06,658738.64,7842.130000000,8964,42619755.042450000,60843.000000000,28,Rural
Auburn Hills,149,104,94,63.09,639738.62,6805.730000000,9357,10858242.149500000,16313.000000000,21,Rural
Deckerville,68,66,60,88.24,635044.29,10584.070000000,5808,43296911.054430000,47874.000000000,3,Rural
Haslett,32,28,29,90.63,594427.7,20497.510000000,1433,383858.007340000,1191.000000000,2,Rural
Boyne City,47,30,37,78.72,591332.17,15981.950000000,1107,4293818.698780000,5798.000000000,5,Rural
Redford,61,35,32,52.46,557560.16,17423.760000000,4212,4278297.387770000,9027.000000000,9,Rural
Clawson,91,78,68,74.73,527434.07,7756.380000000,4218,30350729.875680000,45786.000000000,11,Rural
Harbor Beach,56,53,50,89.29,483148.66,9662.970000000,4768,42855358.080760000,50558.000000000,2,Rural
Grosse Pointe Woods,71,60,54,76.06,469532.16,8695.040000000,3090,14330881.314000000,21597.000000000,14,Rural
Iron River,215,160,136,63.26,462625.43,3401.660000000,4896,55980852.719080000,74433.000000000,6,Rural
Powers,17,16,14,82.35,459564.8,32826.060000000,274,1824500.756620000,2169.000000000,1,Rural
Fort Gratiot,144,94,85,59.03,446590.16,5254.000000000,11922,64375873.478910000,80611.000000000,13,Rural
Roseville,151,117,121,80.13,419605.87,3467.820000000,8345,28880986.649640000,42544.000000000,28,Urban
Okemos,155,79,76,49.03,413035.11,5434.670000000,11894,37559793.730834000,30674.000000000,32,Rural
Leslie,48,44,37,77.08,379567.16,10258.570000000,2625,20818203.599980000,25723.000000000,1,Rural
Brownstown Township,23,15,16,69.57,364034.69,22752.170000000,2420,4008526.525270000,4509.000000000,5,Rural
Lanse,119,111,88,73.95,299327.17,3401.450000000,3014,30061262.326210000,36648.000000000,4,Rural
Brighton,186,115,111,59.68,262064.61,2360.940000000,6439,28382183.423630000,26704.000000000,46,Rural
Norton Shores,97,68,63,64.95,255579.06,4056.810000000,6747,10028525.799720000,9320.000000000,21,Rural
Flushing,71,57,48,67.61,237603.21,4950.070000000,3894,29152292.634240000,34634.000000000,11,Rural
Riverview,88,66,62,70.45,226982.96,3661.020000000,9055,50295816.077160000,75337.000000000,23,Rural
Laurium,203,151,117,57.64,226617.31,1936.900000000,2396,42502282.840340000,49932.000000000,2,Rural
Westland,167,115,113,67.66,213931.35,1893.200000000,6121,22306421.352300000,39173.000000000,34,Urban
Oak Park,57,42,36,63.16,213553.23,5932.030000000,2736,4516200.738690000,6316.000000000,11,Rural
Essexville,14,13,11,78.57,194958.74,17723.520000000,718,1016819.841270000,1410.000000000,3,Rural
Plymouth,304,142,91,29.93,180192.91,1980.140000000,6437,42349082.777650000,61986.000000000,33,Rural
Fenton,98,73,71,72.45,178283.22,2511.030000000,4652,23175320.795450000,30689.000000000,23,Rural
Saline,127,105,49,38.58,170756.19,3484.820000000,1233,54013890.629160000,65399.000000000,10,Rural
Grand Ledge,23,15,15,65.22,161734.01,10782.270000000,4469,17043135.602010000,19802.000000000,6,Rural
Newaygo,33,30,24,72.73,156305.19,6512.720000000,545,22352840.018760000,29929.000000000,4,Rural
Roscommon,12,11,11,91.67,145386.17,13216.920000000,777,5745068.992580000,6422.000000000,4,Rural
Ortonville,23,18,19,82.61,129731.37,6827.970000000,1527,3829048.623910000,4553.000000000,4,Rural
Almont,100,84,87,87.0,120596.87,1386.170000000,2485,65609167.120820000,80668.000000000,3,Rural
Hart,28,23,20,71.43,118955.76,5947.790000000,334,7477238.423160000,9694.000000000,4,Rural
Fairview,26,23,24,92.31,113766.95,4740.290000000,1366,10332420.752740000,12658.000000000,2,Rural
Fraser,48,35,35,72.92,113434.35,3240.980000000,1573,1683418.918690000,2642.000000000,7,Rural
Munising,60,55,50,83.33,108780.37,2175.610000000,2204,12877758.971750000,19898.000000000,3,Rural
Temperance,78,38,39,50.0,96116.89,2464.540000000,3529,24541549.349050000,32860.000000000,8,Rural
Bridgeport,29,23,24,82.76,96081.62,4003.400000000,1590,27219227.843130000,27097.000000000,6,Rural
Flat Rock,18,8,7,38.89,92413.28,13201.900000000,1899,5391371.541970000,6871.000000000,6,Rural
Houghton Lake,34,28,25,73.53,90806.12,3632.240000000,791,18419674.388040000,20766.000000000,5,Rural
Eastpointe,59,54,43,72.88,87869.17,2043.470000000,3806,19241541.320720000,31649.000000000,17,Rural
Lathrup Village,50,47,42,84.0,85194.2,2028.430000000,4002,22410949.729050000,40462.000000000,13,Rural
Woodhaven,56,42,26,46.43,82460.79,3171.570000000,3961,7843855.418880000,11534.000000000,13,Rural
Burton,96,63,53,55.21,80514.76,1519.150000000,2832,25930144.525540000,30530.000000000,17,Rural
Marine City,41,39,28,68.29,72902.62,2603.670000000,3879,29353597.578200000,41185.000000000,3,Rural
Northville,60,29,21,35.0,67520.47,3215.260000000,3553,5980968.370480000,8361.000000000,18,Rural
Huntington Woods,27,25,20,74.07,61850.17,3092.510000000,3158,14183700.107040000,23616.000000000,5,Rural
Prudenville,23,18,19,82.61,60216.69,3169.300000000,573,7745764.632730000,8740.000000000,3,Rural
White Lake,20,17,15,75.0,59859.16,3990.610000000,2417,9795229.918180000,14924.000000000,5,Rural
Romulus,38,26,20,52.63,59474.18,2973.710000000,678,964202.876250000,1634.000000000,5,Rural
Benzonia,26,26,26,100.0,58922.64,2266.260000000,3250,16348308.746870000,20630.000000000,2,Rural
Lincoln Park,41,38,35,85.37,56454.73,1612.990000000,1527,7896835.864220000,11334.000000000,14,Rural
Hamtramck,49,42,36,73.47,54938.31,1526.060000000,2256,15264869.049910000,26695.000000000,15,Rural
Ferndale,61,25,27,44.26,53327.56,1975.090000000,849,896390.907530000,2862.000000000,10,Rural
Oxford,53,16,18,33.96,51746.42,2874.800000000,1565,4797436.605270000,6276.000000000,11,Rural
Highland,32,14,13,40.63,46970.83,3613.140000000,1446,4617540.062490000,6439.000000000,10,Rural
Muskegon Heights,15,12,12,80.0,40814.41,3401.200000000,2290,4732804.277720000,5723.000000000,1,Rural
Hazel Park,24,20,21,87.5,39360.08,1874.290000000,1447,11659240.948940000,14140.000000000,10,Rural
Allendale,22,15,18,81.82,35622.68,1979.040000000,1844,2724245.607610000,4290.000000000,5,Rural
Highland Park,10,10,10,100.0,30651.61,3065.160000000,943,4828194.379790000,11038.000000000,3,Rural
New Baltimore,42,24,24,57.14,28137.46,1172.390000000,1504,1688880.912500000,2568.000000000,6,Rural
Belding,19,17,15,78.95,27949.7,1863.310000000,798,14344015.959150000,21317.000000000,5,Rural
Chesaning,18,17,17,94.44,27426.25,1613.310000000,1240,5502724.602900000,7490.000000000,4,Rural
Baldwin,94,44,35,37.23,26570.86,759.170000000,506,34748856.059180000,47158.000000000,5,Rural
Beverly Hills,11,9,8,72.73,26205.06,3275.630000000,789,3166041.253210000,5224.000000000,6,Rural
Mason,48,15,12,25.0,25335.8,2111.320000000,1256,8414900.239270000,10826.000000000,8,Rural
Walker,37,19,26,70.27,23759.48,913.830000000,459,8289.301500000,29.000000000,2,Rural
Center Line,27,20,17,62.96,22651.16,1332.420000000,950,4229489.706080000,7384.000000000,4,Rural
Sterling,24,18,14,58.33,22595.67,1613.980000000,1157,12581155.896430000,15208.000000000,2,Rural
Richmond,64,20,25,39.06,22560.62,902.420000000,979,4826582.362100000,8521.000000000,7,Rural
Harper Woods,45,40,35,77.78,22114.71,631.850000000,961,5285427.288210000,7840.000000000,5,Rural
Pentwater,27,27,25,92.59,20507.25,820.290000000,1158,30390589.653830000,38600.000000000,1,Rural
Inkster,13,11,12,92.31,18567.38,1547.280000000,297,2109463.557190000,2886.000000000,1,Rural
Utica,44,6,6,13.64,18291.36,3048.560000000,508,911395.659190000,2982.000000000,7,Rural
Bangor,45,33,29,64.44,18007.28,620.940000000,673,32247728.427280000,42812.000000000,4,Rural
Kentwood,36,13,12,33.33,17918.02,1493.170000000,1028,1891078.519430000,2903.000000000,10,Urban
Lake Odessa,15,14,13,86.67,17607.8,1354.450000000,429,10640805.659690000,14247.000000000,3,Rural
Ada,12,10,8,66.67,17199.42,2149.930000000,645,3460593.224820000,9970.000000000,3,Rural
Yale,12,8,4,33.33,16033.83,4008.460000000,630,8358037.753780000,11232.000000000,3,Rural
Bellaire,27,15,14,51.85,14981.65,1070.120000000,393,13834274.715110000,15037.000000000,4,Rural
Wixom,15,8,9,60.0,14866.71,1651.860000000,598,254784.531250000,485.000000000,6,Rural
Hudsonville,62,51,40,64.52,14797.61,369.940000000,551,7407822.946980000,10635.000000000,8,Rural
Whitehall,37,28,22,59.46,14449.31,656.790000000,692,12166396.119410000,20427.000000000,8,Rural
Carleton,14,5,5,35.71,14149.33,2829.870000000,600,1315279.264840000,1724.000000000,2,Rural
Lambertville,12,10,9,75.0,14011.39,1556.820000000,353,1248.130000000,6.000000000,6,Rural
Durand,28,28,16,57.14,13174.24,823.390000000,678,3676597.091910000,4864.000000000,3,Rural
Washington,25,18,13,52.0,12783.26,983.330000000,220,438410.127700000,538.000000000,9,Rural
Cedar Springs,21,13,16,76.19,12559.16,784.950000000,646,5582639.253350000,8099.000000000,6,Rural
Suttons Bay,28,9,6,21.43,12525.21,2087.540000000,587,1433756.443820000,1981.000000000,4,Rural
Rockford,350,17,16,4.57,12399.98,775.000000000,504,803845.182770000,1349.000000000,10,Rural
Wayland,21,9,8,38.1,11707.53,1463.440000000,517,1866340.069510000,3201.000000000,5,Rural
Kingsford,17,10,9,52.94,11363.46,1262.610000000,538,3113143.528550000,4266.000000000,6,Rural
South Lyon,36,21,20,55.56,11174.7,558.740000000,431,1454824.136940000,2225.000000000,9,Rural
Ithaca,15,8,8,53.33,11002.04,1375.260000000,355,5207142.175080000,6646.000000000,3,Rural
Lakeview,27,21,15,55.56,10444.4,696.290000000,279,7926993.799620000,10531.000000000,3,Rural
Mount Morris,15,15,12,80.0,10224.59,852.050000000,234,3999314.072500000,5192.000000000,2,Rural
Algonac,125,15,15,12.0,9936.02,662.400000000,333,9913624.902110000,11201.000000000,3,Rural
Springfield,30,7,7,23.33,9305.74,1329.390000000,307,6815397.459280000,9843.000000000,4,Rural
Norway,11,8,8,72.73,8985.98,1123.250000000,378,2662164.382730000,3585.000000000,5,Rural
Oscoda,30,19,16,53.33,8553.75,534.610000000,473,8820972.574450000,10788.000000000,5,Rural
Linden,22,17,14,63.64,8483.11,605.940000000,324,897188.151370000,2846.000000000,4,Rural
Holt,34,7,6,17.65,8459.3,1409.880000000,311,111631.039110000,249.000000000,9,Rural
Tecumseh,26,11,9,34.62,8421.97,935.770000000,420,3590740.558410000,4918.000000000,9,Rural
Van Buren Township,10,9,9,90.0,8340.32,926.700000000,306,181200.477300000,265.000000000,3,Rural
Holly,43,9,10,23.26,8263.67,826.370000000,366,2165817.916990000,2987.000000000,6,Rural
Jenison,23,8,7,30.43,7941.24,1134.460000000,208,239516.235540000,580.000000000,9,Rural
Hillman,67,39,36,53.73,7882.73,218.960000000,215,25719690.224850000,29457.000000000,5,Rural
Indian River,14,12,11,78.57,7875.39,715.940000000,284,3607487.841640000,4218.000000000,3,Rural
Spring Lake,110,14,15,13.64,7727.0,515.130000000,183,773834.935500000,2510.000000000,9,Rural
Clio,36,28,22,61.11,7135.39,324.340000000,460,3583417.257030000,4650.000000000,7,Rural
Howard City,13,11,9,69.23,6984.26,776.030000000,105,1622809.550160000,2209.000000000,3,Rural
Marysville,14,10,9,64.29,6122.86,680.320000000,309,39479.785000000,66.000000000,5,Rural
East Jordan,18,12,11,61.11,6021.91,547.450000000,317,4771747.535270000,6004.000000000,2,Rural
Walled Lake,21,8,7,33.33,5668.68,809.810000000,249,5400699.818320000,7474.000000000,7,Rural
Brockway,26,11,11,42.31,5627.42,511.580000000,305,6053756.632030000,7691.000000000,3,Rural
Belmont,14,12,10,71.43,5591.14,559.110000000,213,2043718.445270000,3809.000000000,3,Rural
Harbor Springs,22,11,12,54.55,5465.66,455.470000000,224,2964604.060140000,3632.000000000,3,Rural
Dexter,19,6,7,36.84,5434.3,776.330000000,175,23978.449890000,30.000000000,6,Rural
Sparta,33,17,19,57.58,5304.27,279.170000000,152,9102293.358290000,13025.000000000,8,Rural
Stanton,17,11,9,52.94,5197.48,577.500000000,160,3804784.620720000,5079.000000000,3,Rural
Armada,11,6,7,63.64,4749.48,678.500000000,44,701914.375620000,2088.000000000,2,Rural
Lowell,23,9,9,39.13,4538.0,504.220000000,143,492742.351350000,1656.000000000,5,Rural
Cassopolis,34,24,8,23.53,4258.43,532.300000000,57,23267297.797730000,29088.000000000,3,Rural
Brimley,24,10,10,41.67,3953.63,395.360000000,70,5486759.226100000,5813.000000000,2,Rural
Nunica,31,8,8,25.81,3844.96,480.620000000,140,27806.842780000,53.000000000,1,Rural
