provider_type,unique_providers,paid_providers,total_payments,total_attributable,avg_attribution_when_paid,roi,physician_avg_attribution
NP,1773,741,432308.22999999986,4854197.893978329,0.02112180120725657,11.228557675106789,0.016791783222492158
PA,1588,655,470089.2300000001,33735008.21981447,0.050343262743185194,71.7629889538513,0.016791783222492158
