npi,total_payment,transaction_count
44,598533.910000000,2951
455,474836.990000000,8980
454,261026.600000000,7945
16,174819.020000000,224
489,132276.390000000,5214
359,87627.420000000,5408
56,8439.730000000,332
14,3319.470000000,172
12,3176.630000000,222
35,2468.900000000,125
