program_year,unique_providers,transactions,total_payments,avg_payment,max_payment
2020,3405,53446,8954533.520000000,167.543567713,418000.110000000
2021,5632,115271,16418286.210000000,142.432061924,2407379.900000000
2022,6678,139900,18997418.280000000,135.792839743,431941.220000000
2023,7463,158483,20354890.840000000,128.435799676,529662.740000000
2024,8026,171467,22148119.220000000,129.168406865,1054804.850000000
