payment_tier,unique_providers,transactions,total_amount,avg_amount
"$10,000+",106,521,17633833.550000000,33846.129654511
"$5,000-$10,000",208,1668,10697093.990000000,6413.125893285
"$1,000-$5,000",918,15818,35246542.780000000,2228.255328107
"$500-$1,000",898,7000,5007404.590000000,715.343512857
$200-$500,1360,8745,2820523.630000000,322.529860492
$100-$200,5257,33497,4363719.140000000,130.271938980
<$100,9992,571318,11104130.390000000,19.435989046
