years_with_payments,provider_count,avg_total_amount,sum_total_amount
5,2343,31356.982607768,73469410.250000000
4,2091,4828.833629842,10097091.120000000
3,1628,1084.252450860,1765162.990000000
2,1879,559.025630655,1050409.160000000
1,2483,197.814961740,491174.550000000
